"tripmode","tourmode","purpose","value","grp_var"
"3","PNR-Transit","work",0,"worktourmode7"
"4","PNR-Transit","work",805.9374479835,"worktourmode7"
"5","PNR-Transit","work",0,"worktourmode7"
"6","PNR-Transit","work",345.9894676581,"worktourmode7"
"7","PNR-Transit","work",8879.62469772966,"worktourmode7"
"8","PNR-Transit","work",0,"worktourmode7"
"9","PNR-Transit","work",0,"worktourmode7"
"1","KNR-Transit","work",1177.420062664,"worktourmode8"
"10","KNR-Transit","work",0,"worktourmode8"
"2","KNR-Transit","work",610.843986495,"worktourmode8"
"3","KNR-Transit","work",137.647929,"worktourmode8"
"4","KNR-Transit","work",169.317889965,"worktourmode8"
"5","KNR-Transit","work",0,"worktourmode8"
"6","KNR-Transit","work",1561.069081249,"worktourmode8"
"7","KNR-Transit","work",0,"worktourmode8"
"8","KNR-Transit","work",4392.589804078,"worktourmode8"
"9","KNR-Transit","work",0,"worktourmode8"
"1","School Bus","work",1288.596355578,"worktourmode9"
"10","School Bus","work",0,"worktourmode9"
"2","School Bus","work",257.292515212,"worktourmode9"
"3","School Bus","work",0,"worktourmode9"
"4","School Bus","work",0,"worktourmode9"
"5","School Bus","work",0,"worktourmode9"
"6","School Bus","work",0,"worktourmode9"
"7","School Bus","work",0,"worktourmode9"
"8","School Bus","work",0,"worktourmode9"
"9","School Bus","work",1362.306309422,"worktourmode9"
"1","Total","work",2876949.26671197,"workTotal"
"10","Total","work",0,"workTotal"
"2","Total","work",819603.408990063,"workTotal"
"3","Total","work",246270.997426873,"workTotal"
"4","Total","work",74975.2176795217,"workTotal"
"5","Total","work",39412.4394335456,"workTotal"
"6","Total","work",58462.6639038531,"workTotal"
"7","Total","work",8879.62469772966,"workTotal"
"8","Total","work",4392.589804078,"workTotal"
"9","Total","work",2177.497077422,"workTotal"
"1","Auto SOV","univ",165668.276257064,"univtourmode1"
"10","Auto SOV","univ",0,"univtourmode1"
"2","Auto SOV","univ",0,"univtourmode1"
"3","Auto SOV","univ",0,"univtourmode1"
"4","Auto SOV","univ",2437.20489768,"univtourmode1"
"5","Auto SOV","univ",0,"univtourmode1"
"6","Auto SOV","univ",0,"univtourmode1"
"7","Auto SOV","univ",0,"univtourmode1"
"8","Auto SOV","univ",0,"univtourmode1"
"9","Auto SOV","univ",0,"univtourmode1"
"1","Auto 2 Person","univ",27058.044333702,"univtourmode2"
"10","Auto 2 Person","univ",0,"univtourmode2"
"2","Auto 2 Person","univ",100015.393168166,"univtourmode2"
"3","Auto 2 Person","univ",0,"univtourmode2"
"4","Auto 2 Person","univ",2319.879165527,"univtourmode2"
"5","Auto 2 Person","univ",0,"univtourmode2"
"6","Auto 2 Person","univ",0,"univtourmode2"
"7","Auto 2 Person","univ",0,"univtourmode2"
"8","Auto 2 Person","univ",0,"univtourmode2"
"9","Auto 2 Person","univ",0,"univtourmode2"
"1","Auto 3+ Person","univ",18285.2601604476,"univtourmode3"
"10","Auto 3+ Person","univ",0,"univtourmode3"
"2","Auto 3+ Person","univ",23223.7766556078,"univtourmode3"
"3","Auto 3+ Person","univ",78144.4959939248,"univtourmode3"
"4","Auto 3+ Person","univ",2116.309386,"univtourmode3"
"5","Auto 3+ Person","univ",0,"univtourmode3"
"6","Auto 3+ Person","univ",0,"univtourmode3"
"7","Auto 3+ Person","univ",0,"univtourmode3"
"8","Auto 3+ Person","univ",0,"univtourmode3"
"9","Auto 3+ Person","univ",0,"univtourmode3"
"1","Walk","univ",0,"univtourmode4"
"10","Walk","univ",0,"univtourmode4"
"2","Walk","univ",0,"univtourmode4"
"3","Walk","univ",0,"univtourmode4"
"4","Walk","univ",52881.324908044,"univtourmode4"
"5","Walk","univ",0,"univtourmode4"
"6","Walk","univ",0,"univtourmode4"
"7","Walk","univ",0,"univtourmode4"
"8","Walk","univ",0,"univtourmode4"
"9","Walk","univ",0,"univtourmode4"
"1","Bike/Moped","univ",838.31503,"univtourmode5"
"10","Bike/Moped","univ",0,"univtourmode5"
"2","Bike/Moped","univ",181.142961,"univtourmode5"
"3","Bike/Moped","univ",0,"univtourmode5"
"4","Bike/Moped","univ",2508.364145752,"univtourmode5"
"5","Bike/Moped","univ",15050.729357241,"univtourmode5"
"6","Bike/Moped","univ",0,"univtourmode5"
"7","Bike/Moped","univ",0,"univtourmode5"
"8","Bike/Moped","univ",0,"univtourmode5"
"9","Bike/Moped","univ",0,"univtourmode5"
"1","Walk-Transit","univ",720.967533018,"univtourmode6"
"10","Walk-Transit","univ",0,"univtourmode6"
"2","Walk-Transit","univ",134.260029912,"univtourmode6"
"3","Walk-Transit","univ",359.972280712,"univtourmode6"
"4","Walk-Transit","univ",10977.054919295,"univtourmode6"
"5","Walk-Transit","univ",0,"univtourmode6"
"6","Walk-Transit","univ",34581.83241039,"univtourmode6"
"7","Walk-Transit","univ",0,"univtourmode6"
"8","Walk-Transit","univ",0,"univtourmode6"
"9","Walk-Transit","univ",147.818194,"univtourmode6"
"1","PNR-Transit","univ",188.8668831,"univtourmode7"
"10","PNR-Transit","univ",0,"univtourmode7"
"2","PNR-Transit","univ",377.7337662,"univtourmode7"
"3","PNR-Transit","univ",377.7337662,"univtourmode7"
"4","PNR-Transit","univ",908.7508154,"univtourmode7"
"5","PNR-Transit","univ",0,"univtourmode7"
"6","PNR-Transit","univ",0,"univtourmode7"
"7","PNR-Transit","univ",719.8839323,"univtourmode7"
"8","PNR-Transit","univ",0,"univtourmode7"
"9","PNR-Transit","univ",0,"univtourmode7"
"1","KNR-Transit","univ",0,"univtourmode8"
"10","KNR-Transit","univ",0,"univtourmode8"
"2","KNR-Transit","univ",0,"univtourmode8"
"3","KNR-Transit","univ",0,"univtourmode8"
"4","KNR-Transit","univ",106.2412899,"univtourmode8"
"5","KNR-Transit","univ",0,"univtourmode8"
"6","KNR-Transit","univ",0,"univtourmode8"
"7","KNR-Transit","univ",0,"univtourmode8"
"8","KNR-Transit","univ",212.4825798,"univtourmode8"
"9","KNR-Transit","univ",0,"univtourmode8"
"1","School Bus","univ",102.957219008,"univtourmode9"
"10","School Bus","univ",0,"univtourmode9"
"2","School Bus","univ",1606.388736952,"univtourmode9"
"3","School Bus","univ",1771.985969936,"univtourmode9"
"4","School Bus","univ",1196.586381708,"univtourmode9"
"5","School Bus","univ",0,"univtourmode9"
"6","School Bus","univ",0,"univtourmode9"
"7","School Bus","univ",0,"univtourmode9"
"8","School Bus","univ",0,"univtourmode9"
"9","School Bus","univ",15833.960156128,"univtourmode9"
"1","Total","univ",212862.68741634,"univTotal"
"10","Total","univ",0,"univTotal"
"2","Total","univ",125538.695317838,"univTotal"
"3","Total","univ",80654.1880107728,"univTotal"
"4","Total","univ",75451.715909306,"univTotal"
"5","Total","univ",15050.729357241,"univTotal"
"6","Total","univ",34581.83241039,"univTotal"
"7","Total","univ",719.8839323,"univTotal"
"8","Total","univ",212.4825798,"univTotal"
"9","Total","univ",15981.778350128,"univTotal"
"1","Auto SOV","schl",67764.91591616,"schltourmode1"
"10","Auto SOV","schl",0,"schltourmode1"
"2","Auto SOV","schl",0,"schltourmode1"
"3","Auto SOV","schl",0,"schltourmode1"
"4","Auto SOV","schl",0,"schltourmode1"
"5","Auto SOV","schl",0,"schltourmode1"
"6","Auto SOV","schl",0,"schltourmode1"
"7","Auto SOV","schl",0,"schltourmode1"
"8","Auto SOV","schl",0,"schltourmode1"
"9","Auto SOV","schl",0,"schltourmode1"
"1","Auto 2 Person","schl",16096.472063656,"schltourmode2"
"10","Auto 2 Person","schl",0,"schltourmode2"
"2","Auto 2 Person","schl",306150.068563524,"schltourmode2"
"3","Auto 2 Person","schl",0,"schltourmode2"
"4","Auto 2 Person","schl",17715.995929892,"schltourmode2"
"5","Auto 2 Person","schl",0,"schltourmode2"
"6","Auto 2 Person","schl",0,"schltourmode2"
"7","Auto 2 Person","schl",0,"schltourmode2"
"8","Auto 2 Person","schl",0,"schltourmode2"
"9","Auto 2 Person","schl",0,"schltourmode2"
"1","Auto 3+ Person","schl",6011.2507963,"schltourmode3"
"10","Auto 3+ Person","schl",0,"schltourmode3"
"2","Auto 3+ Person","schl",148022.321462359,"schltourmode3"
"3","Auto 3+ Person","schl",708249.630789999,"schltourmode3"
"4","Auto 3+ Person","schl",27783.18888854,"schltourmode3"
"5","Auto 3+ Person","schl",0,"schltourmode3"
"6","Auto 3+ Person","schl",0,"schltourmode3"
"7","Auto 3+ Person","schl",0,"schltourmode3"
"8","Auto 3+ Person","schl",0,"schltourmode3"
"9","Auto 3+ Person","schl",0,"schltourmode3"
"1","Walk","schl",0,"schltourmode4"
"10","Walk","schl",0,"schltourmode4"
"2","Walk","schl",0,"schltourmode4"
"3","Walk","schl",0,"schltourmode4"
"4","Walk","schl",81397.74938882,"schltourmode4"
"5","Walk","schl",0,"schltourmode4"
"6","Walk","schl",0,"schltourmode4"
"7","Walk","schl",0,"schltourmode4"
"8","Walk","schl",0,"schltourmode4"
"9","Walk","schl",0,"schltourmode4"
"1","Bike/Moped","schl",0,"schltourmode5"
"10","Bike/Moped","schl",0,"schltourmode5"
"2","Bike/Moped","schl",324.1559589,"schltourmode5"
"3","Bike/Moped","schl",817.7121731,"schltourmode5"
"4","Bike/Moped","schl",4655.5103378,"schltourmode5"
"5","Bike/Moped","schl",18495.056349076,"schltourmode5"
"6","Bike/Moped","schl",0,"schltourmode5"
"7","Bike/Moped","schl",0,"schltourmode5"
"8","Bike/Moped","schl",0,"schltourmode5"
"9","Bike/Moped","schl",0,"schltourmode5"
"1","Walk-Transit","schl",0,"schltourmode6"
"10","Walk-Transit","schl",0,"schltourmode6"
"2","Walk-Transit","schl",1479.037088072,"schltourmode6"
"3","Walk-Transit","schl",8610.77761204,"schltourmode6"
"4","Walk-Transit","schl",4931.3234084,"schltourmode6"
"5","Walk-Transit","schl",0,"schltourmode6"
"6","Walk-Transit","schl",19008.991926104,"schltourmode6"
"7","Walk-Transit","schl",0,"schltourmode6"
"8","Walk-Transit","schl",0,"schltourmode6"
"9","Walk-Transit","schl",0,"schltourmode6"
"1","PNR-Transit","schl",0,"schltourmode7"
"10","PNR-Transit","schl",0,"schltourmode7"
"2","PNR-Transit","schl",0,"schltourmode7"
"3","PNR-Transit","schl",0,"schltourmode7"
"4","PNR-Transit","schl",0,"schltourmode7"
"5","PNR-Transit","schl",0,"schltourmode7"
"6","PNR-Transit","schl",0,"schltourmode7"
"7","PNR-Transit","schl",0,"schltourmode7"
"8","PNR-Transit","schl",0,"schltourmode7"
"9","PNR-Transit","schl",0,"schltourmode7"
"1","KNR-Transit","schl",0,"schltourmode8"
"10","KNR-Transit","schl",0,"schltourmode8"
"2","KNR-Transit","schl",0,"schltourmode8"
"3","KNR-Transit","schl",0,"schltourmode8"
"4","KNR-Transit","schl",129.2141752,"schltourmode8"
"5","KNR-Transit","schl",0,"schltourmode8"
"6","KNR-Transit","schl",198.2696586,"schltourmode8"
"7","KNR-Transit","schl",0,"schltourmode8"
"8","KNR-Transit","schl",456.698009,"schltourmode8"
"9","KNR-Transit","schl",0,"schltourmode8"
"1","School Bus","schl",2909.973838672,"schltourmode9"
"10","School Bus","schl",0,"schltourmode9"
"2","School Bus","schl",81621.528265924,"schltourmode9"
"3","School Bus","schl",89358.095740244,"schltourmode9"
"4","School Bus","schl",20663.049966296,"schltourmode9"
"5","School Bus","schl",98.4015558,"schltourmode9"
"6","School Bus","schl",0,"schltourmode9"
"7","School Bus","schl",0,"schltourmode9"
"8","School Bus","schl",0,"schltourmode9"
"9","School Bus","schl",420029.791598972,"schltourmode9"
"1","Total","schl",92782.612614788,"schlTotal"
"10","Total","schl",0,"schlTotal"
"2","Total","schl",537597.111338779,"schlTotal"
"3","Total","schl",807036.216315383,"schlTotal"
"4","Total","schl",157276.032094948,"schlTotal"
"5","Total","schl",18593.457904876,"schlTotal"
"6","Total","schl",19207.261584704,"schlTotal"
"7","Total","schl",0,"schlTotal"
"8","Total","schl",456.698009,"schlTotal"
"9","Total","schl",420029.791598972,"schlTotal"
"1","Auto SOV","imain",1832371.83432196,"imaintourmode1"
"10","Auto SOV","imain",0,"imaintourmode1"
"2","Auto SOV","imain",0,"imaintourmode1"
"3","Auto SOV","imain",0,"imaintourmode1"
"4","Auto SOV","imain",21593.7721834205,"imaintourmode1"
"5","Auto SOV","imain",0,"imaintourmode1"
"6","Auto SOV","imain",0,"imaintourmode1"
"7","Auto SOV","imain",0,"imaintourmode1"
"8","Auto SOV","imain",0,"imaintourmode1"
"9","Auto SOV","imain",0,"imaintourmode1"
"1","Auto 2 Person","imain",437468.346341798,"imaintourmode2"
"10","Auto 2 Person","imain",0,"imaintourmode2"
"2","Auto 2 Person","imain",959804.685865861,"imaintourmode2"
"3","Auto 2 Person","imain",0,"imaintourmode2"
"4","Auto 2 Person","imain",10588.2139117872,"imaintourmode2"
"5","Auto 2 Person","imain",0,"imaintourmode2"
"6","Auto 2 Person","imain",0,"imaintourmode2"
"7","Auto 2 Person","imain",0,"imaintourmode2"
"8","Auto 2 Person","imain",0,"imaintourmode2"
"9","Auto 2 Person","imain",0,"imaintourmode2"
"1","Auto 3+ Person","imain",144512.627265916,"imaintourmode3"
"10","Auto 3+ Person","imain",0,"imaintourmode3"
"2","Auto 3+ Person","imain",306705.727292817,"imaintourmode3"
"3","Auto 3+ Person","imain",720443.557982058,"imaintourmode3"
"4","Auto 3+ Person","imain",10193.2178501637,"imaintourmode3"
"5","Auto 3+ Person","imain",0,"imaintourmode3"
"6","Auto 3+ Person","imain",0,"imaintourmode3"
"7","Auto 3+ Person","imain",0,"imaintourmode3"
"8","Auto 3+ Person","imain",0,"imaintourmode3"
"9","Auto 3+ Person","imain",0,"imaintourmode3"
"1","Walk","imain",0,"imaintourmode4"
"10","Walk","imain",0,"imaintourmode4"
"2","Walk","imain",0,"imaintourmode4"
"3","Walk","imain",0,"imaintourmode4"
"4","Walk","imain",195283.133395022,"imaintourmode4"
"5","Walk","imain",0,"imaintourmode4"
"6","Walk","imain",0,"imaintourmode4"
"7","Walk","imain",0,"imaintourmode4"
"8","Walk","imain",0,"imaintourmode4"
"9","Walk","imain",0,"imaintourmode4"
"1","Bike/Moped","imain",3821.709094814,"imaintourmode5"
"10","Bike/Moped","imain",0,"imaintourmode5"
"2","Bike/Moped","imain",400.442761668,"imaintourmode5"
"3","Bike/Moped","imain",743.374577356,"imaintourmode5"
"4","Bike/Moped","imain",156.243089642,"imaintourmode5"
"5","Bike/Moped","imain",41329.900372808,"imaintourmode5"
"6","Bike/Moped","imain",0,"imaintourmode5"
"7","Bike/Moped","imain",0,"imaintourmode5"
"8","Bike/Moped","imain",0,"imaintourmode5"
"9","Bike/Moped","imain",0,"imaintourmode5"
"1","Walk-Transit","imain",2500.380587008,"imaintourmode6"
"10","Walk-Transit","imain",0,"imaintourmode6"
"2","Walk-Transit","imain",2704.373464558,"imaintourmode6"
"3","Walk-Transit","imain",4978.5375222,"imaintourmode6"
"4","Walk-Transit","imain",26932.958085217,"imaintourmode6"
"5","Walk-Transit","imain",0,"imaintourmode6"
"6","Walk-Transit","imain",97775.8372078711,"imaintourmode6"
"7","Walk-Transit","imain",0,"imaintourmode6"
"8","Walk-Transit","imain",0,"imaintourmode6"
"9","Walk-Transit","imain",0,"imaintourmode6"
"1","PNR-Transit","imain",0,"imaintourmode7"
"10","PNR-Transit","imain",0,"imaintourmode7"
"2","PNR-Transit","imain",0,"imaintourmode7"
"3","PNR-Transit","imain",0,"imaintourmode7"
"4","PNR-Transit","imain",0,"imaintourmode7"
"5","PNR-Transit","imain",0,"imaintourmode7"
"6","PNR-Transit","imain",0,"imaintourmode7"
"7","PNR-Transit","imain",0,"imaintourmode7"
"8","PNR-Transit","imain",0,"imaintourmode7"
"9","PNR-Transit","imain",0,"imaintourmode7"
"1","KNR-Transit","imain",0,"imaintourmode8"
"10","KNR-Transit","imain",0,"imaintourmode8"
"2","KNR-Transit","imain",846.71545126,"imaintourmode8"
"3","KNR-Transit","imain",0,"imaintourmode8"
"4","KNR-Transit","imain",380.8850377,"imaintourmode8"
"5","KNR-Transit","imain",780.5687049,"imaintourmode8"
"6","KNR-Transit","imain",950.478609962,"imaintourmode8"
"7","KNR-Transit","imain",0,"imaintourmode8"
"8","KNR-Transit","imain",5157.077823802,"imaintourmode8"
"9","KNR-Transit","imain",0,"imaintourmode8"
"1","School Bus","imain",2082.31668166,"imaintourmode9"
"10","School Bus","imain",0,"imaintourmode9"
"2","School Bus","imain",1024.329318379,"imaintourmode9"
"3","School Bus","imain",3271.88492494,"imaintourmode9"
"4","School Bus","imain",45.99165795,"imaintourmode9"
"5","School Bus","imain",0,"imaintourmode9"
"6","School Bus","imain",0,"imaintourmode9"
"7","School Bus","imain",0,"imaintourmode9"
"8","School Bus","imain",0,"imaintourmode9"
"9","School Bus","imain",7491.920136713,"imaintourmode9"
"1","Total","imain",2422757.21429315,"imainTotal"
"10","Total","imain",0,"imainTotal"
"2","Total","imain",1271486.27415454,"imainTotal"
"3","Total","imain",729437.355006554,"imainTotal"
"4","Total","imain",265174.415210902,"imainTotal"
"5","Total","imain",42110.469077708,"imainTotal"
"6","Total","imain",98726.3158178331,"imainTotal"
"7","Total","imain",0,"imainTotal"
"8","Total","imain",5157.077823802,"imainTotal"
"9","Total","imain",7491.920136713,"imainTotal"
"1","Auto SOV","idisc",1140310.64094442,"idisctourmode1"
"10","Auto SOV","idisc",0,"idisctourmode1"
"2","Auto SOV","idisc",0,"idisctourmode1"
"3","Auto SOV","idisc",0,"idisctourmode1"
"4","Auto SOV","idisc",16360.2206104714,"idisctourmode1"
"5","Auto SOV","idisc",0,"idisctourmode1"
"6","Auto SOV","idisc",0,"idisctourmode1"
"7","Auto SOV","idisc",0,"idisctourmode1"
"8","Auto SOV","idisc",0,"idisctourmode1"
"9","Auto SOV","idisc",0,"idisctourmode1"
"1","Auto 2 Person","idisc",144970.571372348,"idisctourmode2"
"10","Auto 2 Person","idisc",0,"idisctourmode2"
"2","Auto 2 Person","idisc",525039.690117703,"idisctourmode2"
"3","Auto 2 Person","idisc",0,"idisctourmode2"
"4","Auto 2 Person","idisc",19875.9944196225,"idisctourmode2"
"5","Auto 2 Person","idisc",0,"idisctourmode2"
"6","Auto 2 Person","idisc",0,"idisctourmode2"
"7","Auto 2 Person","idisc",0,"idisctourmode2"
"8","Auto 2 Person","idisc",0,"idisctourmode2"
"9","Auto 2 Person","idisc",0,"idisctourmode2"
"1","Auto 3+ Person","idisc",52135.5150424549,"idisctourmode3"
"10","Auto 3+ Person","idisc",0,"idisctourmode3"
"2","Auto 3+ Person","idisc",135298.143124152,"idisctourmode3"
"3","Auto 3+ Person","idisc",426976.510411825,"idisctourmode3"
"4","Auto 3+ Person","idisc",23359.4230188969,"idisctourmode3"
"5","Auto 3+ Person","idisc",0,"idisctourmode3"
"6","Auto 3+ Person","idisc",0,"idisctourmode3"
"7","Auto 3+ Person","idisc",0,"idisctourmode3"
"8","Auto 3+ Person","idisc",0,"idisctourmode3"
"9","Auto 3+ Person","idisc",0,"idisctourmode3"
"1","Walk","idisc",0,"idisctourmode4"
"10","Walk","idisc",0,"idisctourmode4"
"2","Walk","idisc",0,"idisctourmode4"
"3","Walk","idisc",0,"idisctourmode4"
"4","Walk","idisc",211927.47431389,"idisctourmode4"
"5","Walk","idisc",0,"idisctourmode4"
"6","Walk","idisc",0,"idisctourmode4"
"7","Walk","idisc",0,"idisctourmode4"
"8","Walk","idisc",0,"idisctourmode4"
"9","Walk","idisc",0,"idisctourmode4"
"1","Bike/Moped","idisc",6865.475028837,"idisctourmode5"
"10","Bike/Moped","idisc",0,"idisctourmode5"
"2","Bike/Moped","idisc",2262.385492132,"idisctourmode5"
"3","Bike/Moped","idisc",0,"idisctourmode5"
"4","Bike/Moped","idisc",420.614873537,"idisctourmode5"
"5","Bike/Moped","idisc",47384.060055669,"idisctourmode5"
"6","Bike/Moped","idisc",0,"idisctourmode5"
"7","Bike/Moped","idisc",0,"idisctourmode5"
"8","Bike/Moped","idisc",0,"idisctourmode5"
"9","Bike/Moped","idisc",0,"idisctourmode5"
"1","Walk-Transit","idisc",172.5269604,"idisctourmode6"
"10","Walk-Transit","idisc",0,"idisctourmode6"
"2","Walk-Transit","idisc",1279.766451345,"idisctourmode6"
"3","Walk-Transit","idisc",1352.346948097,"idisctourmode6"
"4","Walk-Transit","idisc",8871.230578021,"idisctourmode6"
"5","Walk-Transit","idisc",520.87548215,"idisctourmode6"
"6","Walk-Transit","idisc",28911.050602601,"idisctourmode6"
"7","Walk-Transit","idisc",0,"idisctourmode6"
"8","Walk-Transit","idisc",0,"idisctourmode6"
"9","Walk-Transit","idisc",0,"idisctourmode6"
"1","PNR-Transit","idisc",0,"idisctourmode7"
"10","PNR-Transit","idisc",0,"idisctourmode7"
"2","PNR-Transit","idisc",0,"idisctourmode7"
"3","PNR-Transit","idisc",0,"idisctourmode7"
"4","PNR-Transit","idisc",0,"idisctourmode7"
"5","PNR-Transit","idisc",0,"idisctourmode7"
"6","PNR-Transit","idisc",0,"idisctourmode7"
"7","PNR-Transit","idisc",64.42591,"idisctourmode7"
"8","PNR-Transit","idisc",0,"idisctourmode7"
"9","PNR-Transit","idisc",0,"idisctourmode7"
"1","KNR-Transit","idisc",0,"idisctourmode8"
"10","KNR-Transit","idisc",0,"idisctourmode8"
"2","KNR-Transit","idisc",2130.6192925,"idisctourmode8"
"3","KNR-Transit","idisc",167.3695511,"idisctourmode8"
"4","KNR-Transit","idisc",0,"idisctourmode8"
"5","KNR-Transit","idisc",184.1933374,"idisctourmode8"
"6","KNR-Transit","idisc",92.0966687,"idisctourmode8"
"7","KNR-Transit","idisc",0,"idisctourmode8"
"8","KNR-Transit","idisc",2557.4550634,"idisctourmode8"
"9","KNR-Transit","idisc",0,"idisctourmode8"
"1","School Bus","idisc",126.682205552,"idisctourmode9"
"10","School Bus","idisc",0,"idisctourmode9"
"2","School Bus","idisc",1472.55845353456,"idisctourmode9"
"3","School Bus","idisc",1891.31620604224,"idisctourmode9"
"4","School Bus","idisc",436.1789623,"idisctourmode9"
"5","School Bus","idisc",0,"idisctourmode9"
"6","School Bus","idisc",0,"idisctourmode9"
"7","School Bus","idisc",0,"idisctourmode9"
"8","School Bus","idisc",0,"idisctourmode9"
"9","School Bus","idisc",7908.79464403856,"idisctourmode9"
"1","Total","idisc",1344581.41155401,"idiscTotal"
"10","Total","idisc",0,"idiscTotal"
"2","Total","idisc",667483.162931367,"idiscTotal"
"3","Total","idisc",430387.543117064,"idiscTotal"
"4","Total","idisc",281251.136776739,"idiscTotal"
"5","Total","idisc",48089.128875219,"idiscTotal"
"6","Total","idisc",29003.147271301,"idiscTotal"
"7","Total","idisc",64.42591,"idiscTotal"
"8","Total","idisc",2557.4550634,"idiscTotal"
"9","Total","idisc",7908.79464403856,"idiscTotal"
"1","Auto SOV","jmain",264.048245,"jmaintourmode1"
"10","Auto SOV","jmain",0,"jmaintourmode1"
"2","Auto SOV","jmain",0,"jmaintourmode1"
"3","Auto SOV","jmain",0,"jmaintourmode1"
"4","Auto SOV","jmain",0,"jmaintourmode1"
"5","Auto SOV","jmain",0,"jmaintourmode1"
"6","Auto SOV","jmain",0,"jmaintourmode1"
"7","Auto SOV","jmain",0,"jmaintourmode1"
"8","Auto SOV","jmain",0,"jmaintourmode1"
"9","Auto SOV","jmain",0,"jmaintourmode1"
"1","Auto 2 Person","jmain",64.813185885,"jmaintourmode2"
"10","Auto 2 Person","jmain",0,"jmaintourmode2"
"2","Auto 2 Person","jmain",358106.473077093,"jmaintourmode2"
"3","Auto 2 Person","jmain",0,"jmaintourmode2"
"4","Auto 2 Person","jmain",1457.988030532,"jmaintourmode2"
"5","Auto 2 Person","jmain",0,"jmaintourmode2"
"6","Auto 2 Person","jmain",0,"jmaintourmode2"
"7","Auto 2 Person","jmain",0,"jmaintourmode2"
"8","Auto 2 Person","jmain",0,"jmaintourmode2"
"9","Auto 2 Person","jmain",0,"jmaintourmode2"
"1","Auto 3+ Person","jmain",0,"jmaintourmode3"
"10","Auto 3+ Person","jmain",0,"jmaintourmode3"
"2","Auto 3+ Person","jmain",8171.824520115,"jmaintourmode3"
"3","Auto 3+ Person","jmain",77873.6916389958,"jmaintourmode3"
"4","Auto 3+ Person","jmain",1338.904661152,"jmaintourmode3"
"5","Auto 3+ Person","jmain",0,"jmaintourmode3"
"6","Auto 3+ Person","jmain",0,"jmaintourmode3"
"7","Auto 3+ Person","jmain",0,"jmaintourmode3"
"8","Auto 3+ Person","jmain",0,"jmaintourmode3"
